trunc_time,open_price,high_price,low_price,close_price,volume
2021-05-26,29550,29800,29350,29500,31489600
2021-05-27,29550,30300,29000,29800,46751500
2021-05-28,30400,31850,30000,31850,73839900
2021-05-31,32150,33900,31900,33800,42128800
2021-06-01,33500,33550,32350,32400,47063500
2021-06-02,31600,32400,31200,32200,51657300
2021-06-03,33200,33200,32200,32750,30950700
2021-06-04,32200,33000,31800,32150,37481900
2021-06-07,31800,32000,30000,30700,38824700
2021-06-08,30200,31300,28600,28600,47297600
2021-06-09,28500,30350,28000,29600,37519500
2021-06-10,29600,30050,28800,28900,23976800
2021-06-11,29200,30800,28800,30500,36442200
2021-06-14,30700,31300,30400,30800,26889200
2021-06-15,30800,30800,29800,30100,29659500
2021-06-16,29600,30200,29000,29200,30686500
2021-06-17,28550,29650,28550,29400,19581100
2021-06-18,29900,30100,29500,29650,16991300
2021-06-21,29500,30300,29350,29850,24072800
2021-06-22,30200,30750,29850,30200,25185700
2021-06-23,30100,30350,29750,29750,24112800
2021-06-24,29750,29900,28850,29000,21749700
2021-06-25,29000,29500,28900,29500,15572700
2021-06-28,29750,30400,29450,30200,19303900
2021-06-29,30500,31500,30400,31000,36074600
2021-06-30,30950,31400,30500,30600,16495700
2021-07-01,30600,31250,30450,31000,29589500
2021-07-02,31100,31950,31100,31500,41478500
2021-07-05,31600,32600,30900,32600,53687900
2021-07-06,32800,33100,30350,30350,38579900
2021-07-07,30650,31150,30000,31050,41481100
2021-07-08,31000,31300,30100,30200,31647600
2021-07-09,30000,30500,29000,29100,38413800
2021-07-12,29150,29200,27100,28400,62616700
2021-07-13,28800,29000,28050,28700,18442600
2021-07-14,28700,28700,27000,27400,25268600
2021-07-15,27100,28800,27100,28800,25368800
2021-07-16,28900,29100,28400,28450,19474900
2021-07-19,27500,27950,26700,27500,38557500
2021-07-20,27800,28100,27200,28100,23884800
2021-07-21,28300,28400,27800,27850,14144600
2021-07-22,27850,28150,27650,28000,16617400
2021-07-23,28300,29950,27900,28700,63584600
2021-07-26,28900,29300,28350,28700,15097600
2021-07-27,29000,29750,28700,29100,29764400
2021-07-28,28900,29450,28700,28900,17532900
2021-07-29,29100,29400,29000,29300,16102300
2021-07-30,29400,30350,29250,29900,32248600
2021-08-02,29800,30400,29300,29300,26509200
2021-08-03,29400,29800,29250,29800,26539400
2021-08-04,29800,30800,29650,30650,48352900
2021-08-05,30600,31250,30300,31050,30721500
2021-08-06,31000,31150,30300,30300,30921200
2021-08-09,30300,30800,30100,30700,20906000
2021-08-10,30850,31000,30300,30600,24370800
2021-08-11,30500,30850,30350,30400,26155800
2021-08-12,30300,30500,29600,29600,27936600
2021-08-13,29600,29800,29150,29700,22964600
2021-08-16,29850,30400,29400,30300,24095900
2021-08-17,30300,30600,30000,30150,20325100
2021-08-18,30000,30150,29550,29950,22196200
2021-08-19,29800,30050,29600,29950,16698400
2021-08-20,29800,29900,28000,28300,42106300
2021-08-23,28200,28500,27000,27000,29889700
2021-08-24,26900,27850,26650,27250,25860800
2021-08-25,27350,27550,27100,27350,8164000
2021-08-26,27500,27550,26850,27100,13170400
2021-08-27,27000,27300,26550,27300,16479200
2021-08-30,27350,27950,27200,27900,11734700
2021-08-31,28000,28000,27300,27350,11977600
2021-09-01,27200,27500,27200,27200,10287300
2021-09-06,27200,27850,27100,27550,16262200
2021-09-07,27750,28350,27550,27900,13779100
2021-09-08,27900,28100,27300,27300,9670400
2021-09-09,27150,27500,27100,27350,9342700
2021-09-10,27500,27600,27150,27200,10699600
2021-09-13,27250,27300,26800,26900,10646300
2021-09-14,26900,27200,26650,26650,12638800
2021-09-15,26650,26900,26550,26600,10157900
2021-09-16,26900,26950,26600,26750,5187000
2021-09-17,26900,27100,26700,26800,16365100
2021-09-20,27000,27500,26900,27100,17459500
2021-09-21,26850,27050,26500,26800,14211800
2021-09-22,26800,26850,26550,26700,8394800
2021-09-23,26750,27000,26600,26600,12776800
2021-09-24,26700,27200,26600,26750,13849400
2021-09-27,27000,27100,26500,26500,10520000
2021-09-28,26350,26600,26200,26550,9950300
2021-09-29,26500,26550,25700,25800,19931200
2021-09-30,25850,26150,25700,25700,10103000
2021-10-01,25650,25650,24500,24700,24145000
2021-10-04,24500,24800,24050,24300,15741600
2021-10-05,24400,25750,24400,25750,13478800
2021-10-06,25800,25800,25450,25500,11698400
2021-10-07,25500,25750,24900,25500,10015400
2021-10-08,25600,26000,25300,25700,9327300
2021-10-11,25900,26600,25900,26500,16455900
2021-10-12,26750,26800,26350,26600,11680000
2021-10-13,26700,26750,26200,26250,9597600
2021-10-14,26200,26700,26200,26400,8760700
2021-10-15,26500,27200,26400,26850,18823000
2021-10-18,27000,27200,26850,26900,14767900
