trunc_time,open_price,high_price,low_price,close_price,volume
2019-06-18,5000,5010,4950,4970,658680
2019-06-19,4990,5250,4990,5150,5740560
2019-06-20,5150,5210,5130,5130,1926220
2019-06-21,5140,5140,5060,5090,1351710
2019-06-24,5070,5210,5070,5110,2328450
2019-06-25,5150,5360,5140,5290,6856700
2019-06-26,5290,5360,5280,5300,5131610
2019-06-27,5310,5330,5210,5240,3381680
2019-06-28,5240,5390,5160,5350,3749090
2019-07-01,5420,5450,5320,5320,3585990
2019-07-02,5310,5350,5300,5330,1537800
2019-07-03,5320,5440,5310,5420,4891200
2019-07-04,5450,5600,5440,5470,7200830
2019-07-05,5500,5500,5430,5430,2082490
2019-07-08,5410,5580,5400,5490,6548890
2019-07-09,5550,5680,5500,5610,7953600
2019-07-10,5600,5670,5530,5620,3303790
2019-07-11,5570,5750,5570,5700,5098720
2019-07-12,5700,5720,5600,5600,3469570
2019-07-15,5600,5610,5400,5400,6157000
2019-07-16,5410,5490,5300,5310,5758480
2019-07-17,5310,5380,5310,5350,1630460
2019-07-18,5340,5420,5330,5380,1713600
2019-07-19,5380,5400,5220,5280,3007800
2019-07-22,5260,5340,5170,5300,3061780
2019-07-23,5300,5350,5260,5260,1619930
2019-07-24,5270,5310,5190,5240,1885710
2019-07-25,5240,5260,5150,5210,2383910
2019-07-26,5230,5230,5120,5140,2015800
2019-07-29,5120,5150,5080,5080,1792480
2019-07-30,5080,5280,5040,5230,5656120
2019-07-31,5060,5170,5060,5080,3574410
2019-08-01,5110,5110,4950,4950,4212260
2019-08-02,4900,4910,4800,4820,4556640
2019-08-05,4770,5070,4660,5050,5303490
2019-08-06,4900,5150,4850,5020,2917240
2019-08-07,5070,5070,4980,5000,1343330
2019-08-08,4960,5050,4960,5010,1484750
2019-08-09,5050,5060,5010,5050,1860300
2019-08-12,5090,5130,5040,5050,1544270
2019-08-13,5030,5050,4980,4980,2208780
2019-08-14,5000,5090,5000,5000,1886220
2019-08-15,4950,4960,4900,4920,2308710
2019-08-16,4900,4940,4900,4900,1770550
2019-08-19,4910,4950,4700,4790,3570430
2019-08-20,4840,4880,4800,4880,1753180
2019-08-21,4890,4940,4870,4880,816140
2019-08-22,4870,4920,4870,4880,1166100
2019-08-23,4890,4900,4780,4900,2022390
2019-08-26,4850,4850,4780,4810,1428130
2019-08-27,4810,4860,4800,4810,1306470
2019-08-28,4800,4840,4800,4800,1085560
2019-08-29,4810,4850,4810,4820,1085840
2019-08-30,4820,4910,4820,4860,1344990
2019-09-03,4860,4860,4810,4810,1429900
