trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-04-12,10100,10110.870350975525,,STB,DIY,MV
2016-04-13,10200,10155.435175487763,,STB,DIY,MV
2016-04-14,10200,10177.717587743882,,STB,DIY,MV
2016-04-15,10100,10138.858793871941,,STB,DIY,MV
2016-04-19,10000,10069.429396935971,,STB,DIY,MV
2016-04-20,10000,10034.714698467986,,STB,DIY,MV
2016-04-21,10200,10117.357349233993,,STB,DIY,MV
2016-04-22,10200,10158.678674616996,,STB,DIY,MV
2016-04-25,10300,10229.339337308498,,STB,DIY,MV
2016-04-26,10200,10214.66966865425,,STB,DIY,MV
2016-04-27,10200,10207.334834327125,,STB,DIY,MV
2016-04-28,10300,10253.667417163562,,STB,DIY,MV
2016-04-29,10300,10276.83370858178,,STB,DIY,MV
2016-05-04,10200,10238.41685429089,,STB,DIY,MV
2016-05-05,10300,10269.208427145444,,STB,DIY,MV
2016-05-06,10300,10284.604213572722,,STB,DIY,MV
2016-05-09,10300,10292.302106786361,,STB,DIY,MV
2016-05-10,10400,10346.15105339318,,STB,DIY,MV
2016-05-11,10300,10323.07552669659,,STB,DIY,MV
2016-05-12,11000,10661.537763348295,,STB,DIY,MV
2016-05-13,11700,11180.768881674147,,STB,DIY,MV
2016-05-16,12100,11640.384440837073,,STB,DIY,MV
2016-05-17,12700,12170.192220418536,,STB,DIY,MV
2016-05-18,12600,12385.096110209268,,STB,DIY,MV
2016-05-19,12400,12392.548055104635,,STB,DIY,MV
2016-05-20,11900,12146.274027552317,,STB,DIY,MV
2016-05-23,11700,11923.137013776159,,STB,DIY,MV
2016-05-24,11500,11711.56850688808,,STB,DIY,MV
2016-05-25,11200,11455.784253444039,,STB,DIY,MV
2016-05-26,11000,11227.89212672202,,STB,DIY,MV
2016-05-27,11300,11263.94606336101,,STB,DIY,MV
2016-05-30,11100,11181.973031680505,,STB,DIY,MV
2016-05-31,11000,11090.986515840254,,STB,DIY,MV
2016-06-01,11100,11095.493257920127,,STB,DIY,MV
2016-06-02,11200,11147.746628960063,,STB,DIY,MV
2016-06-03,11300,11223.873314480032,,STB,DIY,MV
2016-06-06,12000,11611.936657240016,,STB,DIY,MV
2016-06-07,11900,11755.968328620009,,STB,DIY,MV
2016-06-08,12100,11927.984164310004,,STB,DIY,MV
2016-06-09,12100,12013.992082155002,,STB,DIY,MV
2016-06-10,11500,11756.996041077502,,STB,DIY,MV
2016-06-13,11800,11778.498020538751,,STB,DIY,MV
2016-06-14,11800,11789.249010269376,,STB,DIY,MV
2016-06-15,11700,11744.624505134689,,STB,DIY,MV
2016-06-16,11600,11672.312252567344,,STB,DIY,MV
2016-06-17,11300,11486.156126283673,,STB,DIY,MV
2016-06-20,11300,11393.078063141837,,STB,DIY,MV
2016-06-21,11500,11446.53903157092,,STB,DIY,MV
2016-06-22,11500,11473.26951578546,,STB,DIY,MV
2016-06-23,11500,11486.63475789273,,STB,DIY,MV
2016-06-24,11300,11393.317378946365,,STB,DIY,MV
2016-06-27,11300,11346.658689473183,,STB,DIY,MV
2016-06-28,11300,11323.32934473659,,STB,DIY,MV
2016-06-29,11400,11361.664672368295,,STB,DIY,MV
2016-06-30,11300,11330.832336184147,,STB,DIY,MV
2016-07-01,11300,11315.416168092073,,STB,DIY,MV
2016-07-04,11300,11307.708084046037,,STB,DIY,MV
2016-07-05,11400,11353.854042023018,,STB,DIY,MV
2016-07-06,11300,11326.92702101151,,STB,DIY,MV
